,Year,State,Number Fatalities,lon,lat
195,2013,Qld,271,136.7917573,-18.9522725
196,2013,SA,98,130.510124,-31.9768964
197,2013,Tas,36,143.9194326,-41.566745
198,2013,Vic,243,143.2460735,-36.5564686
199,2013,WA,162,111.8589024,-24.1243605
200,2014,ACT,10,148.6222677,-35.5184035
201,2014,NSW,307,145.5605943,-32.7416489
202,2014,NT,39,129.0049828,-18.340954
203,2014,Qld,223,136.7917573,-18.9522725
204,2014,SA,108,130.510124,-31.9768964
205,2014,Tas,33,143.9194326,-41.566745
206,2014,Vic,248,143.2460735,-36.5564686
207,2014,WA,183,111.8589024,-24.1243605
208,2015,ACT,15,148.6222677,-35.5184035
209,2015,NSW,350,145.5605943,-32.7416489
210,2015,NT,49,129.0049828,-18.340954
211,2015,Qld,243,136.7917573,-18.9522725
212,2015,SA,102,130.510124,-31.9768964
213,2015,Tas,34,143.9194326,-41.566745
214,2015,Vic,252,143.2460735,-36.5564686
215,2015,WA,159,111.8589024,-24.1243605
216,2016,ACT,10,148.6222677,-35.5184035
217,2016,NSW,380,145.5605943,-32.7416489
218,2016,NT,45,129.0049828,-18.340954
219,2016,Qld,251,136.7917573,-18.9522725
220,2016,SA,86,130.510124,-31.9768964
221,2016,Tas,37,143.9194326,-41.566745
222,2016,Vic,290,143.2460735,-36.5564686
223,2016,WA,193,111.8589024,-24.1243605
224,2017,ACT,5,148.6222677,-35.5184035
225,2017,NSW,389,145.5605943,-32.7416489
226,2017,NT,31,129.0049828,-18.340954
227,2017,Qld,247,136.7917573,-18.9522725
228,2017,SA,100,130.510124,-31.9768964
229,2017,Tas,31,143.9194326,-41.566745
230,2017,Vic,259,143.2460735,-36.5564686
231,2017,WA,159,111.8589024,-24.1243605
232,2018,ACT,9,148.6222677,-35.5184035
233,2018,NSW,347,145.5605943,-32.7416489
234,2018,NT,50,129.0049828,-18.340954
235,2018,Qld,245,136.7917573,-18.9522725
236,2018,SA,80,130.510124,-31.9768964
237,2018,Tas,33,143.9194326,-41.566745
238,2018,Vic,213,143.2460735,-36.5564686
239,2018,WA,158,111.8589024,-24.1243605
240,2019,ACT,6,148.6222677,-35.5184035
241,2019,NSW,355,145.5605943,-32.7416489
242,2019,NT,36,129.0049828,-18.340954
243,2019,Qld,218,136.7917573,-18.9522725
244,2019,SA,114,130.510124,-31.9768964
245,2019,Tas,32,143.9194326,-41.566745
246,2019,Vic,270,143.2460735,-36.5564686
247,2019,WA,163,111.8589024,-24.1243605
248,2020,NSW,54,145.5605943,-32.7416489
249,2020,NT,5,129.0049828,-18.340954
250,2020,Qld,26,136.7917573,-18.9522725
251,2020,SA,18,130.510124,-31.9768964
252,2020,Tas,12,143.9194326,-41.566745
253,2020,Vic,43,143.2460735,-36.5564686
254,2020,WA,23,111.8589024,-24.1243605
